File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
github/python/jax/build/build.py,"shell( cmd )", 3, 40, 2, 0
github/python/jax/build/build.py,"get_python_bin_path( python_bin_path_flag )", 3, 59, 2, 0
github/python/jax/build/build.py,"download_and_verify_bazel.progress( block_count , block_size , total_size )", 9, 70, 10, 0
github/python/jax/build/build.py,"download_and_verify_bazel( )", 45, 81, 10, 0
github/python/jax/build/build.py,"get_bazel_path( bazel_path_flag )", 15, 76, 2, 0
github/python/jax/build/build.py,"check_bazel_version( bazel_path , min_version )", 15, 77, 4, 0
github/python/jax/build/build.py,"write_bazelrc( ** kwargs )", 4, 45, 2, 0
github/python/jax/build/build.py,"_parse_string_as_bool( s )", 9, 76, 4, 0
github/python/jax/build/build.py,"add_boolean_argument( parser , name , default = False , help_str = None )", 11, 70, 0, 0
github/python/jax/build/build.py,"main( )", 54, 80, 6, 0
github/python/jax/examples/datasets.py,"_download( url , filename )", 8, 65, 2, 0
github/python/jax/examples/datasets.py,"_partial_flatten( x )", 3, 59, 2, 0
github/python/jax/examples/datasets.py,"_one_hot( x , k , dtype = np . float32 )", 3, 53, 2, 0
github/python/jax/examples/datasets.py,"mnist_raw.parse_labels( filename )", 4, 67, 6, 0
github/python/jax/examples/datasets.py,"mnist_raw.parse_images( filename )", 5, 68, 6, 0
github/python/jax/examples/datasets.py,"mnist_raw( )", 25, 79, 2, 0
github/python/jax/examples/datasets.py,"mnist( permute_train = False )", 15, 81, 2, 0
github/python/jax/examples/mnist_classifier.py,"loss( params , batch )", 4, 35, 2, 0
github/python/jax/examples/mnist_classifier.py,"accuracy( params , batch )", 5, 63, 2, 0
github/python/jax/examples/mnist_classifier.py,"data_stream( )", 7, 63, 8, 0
github/python/jax/examples/mnist_classifier.py,"update( i , opt_state , batch )", 3, 63, 4, 0
github/python/jax/examples/mnist_classifier_fromscratch.py,"init_random_params( scale , layer_sizes , rng = npr . RandomState ( 0 )", 3, 68, 0, 0
github/python/jax/examples/mnist_classifier_fromscratch.py,"predict( params , inputs )", 5, 61, 2, 0
github/python/jax/examples/mnist_classifier_fromscratch.py,"loss( params , batch )", 4, 35, 2, 0
github/python/jax/examples/mnist_classifier_fromscratch.py,"accuracy( params , batch )", 5, 63, 2, 0
github/python/jax/examples/mnist_classifier_fromscratch.py,"data_stream( )", 7, 63, 8, 0
github/python/jax/examples/mnist_classifier_fromscratch.py,"update( params , batch )", 4, 56, 12, 0
github/python/jax/examples/mnist_vae.py,"gaussian_kl( mu , sigmasq )", 3, 73, 2, 0
github/python/jax/examples/mnist_vae.py,"gaussian_sample( rng , mu , sigmasq )", 3, 62, 2, 0
github/python/jax/examples/mnist_vae.py,"bernoulli_logpdf( logits , x )", 3, 66, 2, 0
github/python/jax/examples/mnist_vae.py,"elbo( rng , params , images )", 6, 75, 2, 0
github/python/jax/examples/mnist_vae.py,"image_sample( rng , params , nrow , ncol )", 7, 74, 2, 0
github/python/jax/examples/mnist_vae.py,"image_grid( nrow , ncol , imagevecs , imshape )", 5, 75, 2, 0
github/python/jax/examples/mnist_vae.py,"binarize_batch( rng , i , images )", 4, 73, 4, 0
github/python/jax/examples/mnist_vae.py,"run_epoch.body_fun( i , rng__opt_state__images )", 7, 72, 6, 0
github/python/jax/examples/mnist_vae.py,"run_epoch( rng , opt_state )", 11, 73, 4, 0
github/python/jax/examples/mnist_vae.py,"evaluate( opt_state , images )", 7, 73, 4, 0
github/python/jax/examples/resnet50.py,"ConvBlock( kernel_size , filters , strides = ( 2 , 2 )", 9, 79, 2, 0
github/python/jax/examples/resnet50.py,"IdentityBlock.make_main( input_shape )", 6, 76, 4, 0
github/python/jax/examples/resnet50.py,"IdentityBlock( kernel_size , filters )", 11, 79, 2, 0
github/python/jax/examples/resnet50.py,"ResNet50( num_classes )", 21, 73, 6, 0
github/python/jax/examples/resnet50.py,"loss( params , batch )", 4, 41, 4, 0
github/python/jax/examples/resnet50.py,"accuracy( params , batch )", 5, 70, 4, 0
github/python/jax/examples/resnet50.py,"synth_batches( )", 7, 62, 6, 0
github/python/jax/examples/resnet50.py,"update( i , opt_state , batch )", 3, 63, 4, 0
github/python/jax/jax/abstract_arrays.py,"concretization_err_msg( fun )", 5, 82, 2, 0
github/python/jax/jax/abstract_arrays.py,"concretization_function_error.error( self , * args )", 2, 49, 4, 0
github/python/jax/jax/abstract_arrays.py,"concretization_function_error( fun )", 4, 49, 4, 0
github/python/jax/jax/abstract_arrays.py,"__init__( self , dtype )", 2, 29, 2, 0
github/python/jax/jax/abstract_arrays.py,"__eq__( self , other )", 2, 67, 4, 0
github/python/jax/jax/abstract_arrays.py,"__hash__( self )", 2, 33, 4, 0
github/python/jax/jax/abstract_arrays.py,"__repr__( self )", 2, 70, 4, 0
github/python/jax/jax/abstract_arrays.py,"at_least_vspace( self )", 2, 29, 2, 0
github/python/jax/jax/abstract_arrays.py,"join( self , other )", 2, 25, 2, 0
github/python/jax/jax/abstract_arrays.py,"str_short( self )", 2, 38, 4, 0
github/python/jax/jax/abstract_arrays.py,"__init__( self , shape , dtype )", 3, 65, 4, 0
github/python/jax/jax/abstract_arrays.py,"__eq__( self , other )", 3, 73, 12, 0
github/python/jax/jax/abstract_arrays.py,"__hash__( self )", 2, 47, 4, 0
github/python/jax/jax/abstract_arrays.py,"at_least_vspace( self )", 2, 29, 2, 0
github/python/jax/jax/abstract_arrays.py,"join( self , other )", 7, 64, 4, 0
github/python/jax/jax/abstract_arrays.py,"str_short( self )", 4, 47, 4, 0
github/python/jax/jax/abstract_arrays.py,"__len__( self )", 5, 72, 6, 0
github/python/jax/jax/abstract_arrays.py,"__init__( self , val )", 6, 80, 4, 0
github/python/jax/jax/abstract_arrays.py,"__eq__( self , other )", 3, 78, 12, 0
github/python/jax/jax/abstract_arrays.py,"__hash__( self )", 2, 24, 4, 0
github/python/jax/jax/abstract_arrays.py,"at_least_vspace( self )", 2, 47, 4, 0
