File, Function, Total Width, Leading Space(s), Leading Tab(s)
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",43, 4, 0
repos/python/keras/keras/initializers.py,"get_config( self )",26, 4, 0
repos/python/keras/keras/initializers.py,"from_config( cls , config )",54, 12, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",55, 8, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",55, 8, 0
repos/python/keras/keras/initializers.py,"__init__( self , value = 0 )",33, 4, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",64, 8, 0
repos/python/keras/keras/initializers.py,"get_config( self )",37, 8, 0
repos/python/keras/keras/initializers.py,"__init__( self , mean = 0 . , stddev = 0 . 05 , seed = None )",57, 4, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",62, 8, 0
repos/python/keras/keras/initializers.py,"get_config( self )",35, 12, 0
repos/python/keras/keras/initializers.py,"__init__( self , minval = - 0 . 05 , maxval = 0 . 05 , seed = None )",62, 4, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",65, 8, 0
repos/python/keras/keras/initializers.py,"get_config( self )",35, 12, 0
repos/python/keras/keras/initializers.py,"__init__( self , mean = 0 . , stddev = 0 . 05 , seed = None )",57, 4, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",65, 8, 0
repos/python/keras/keras/initializers.py,"get_config( self )",35, 12, 0
repos/python/keras/keras/initializers.py,"__init__( self , scale = 1 . 0 , mode = 'fan_in' , distribution = 'normal' , seed = None )",40, 17, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",80, 12, 0
repos/python/keras/keras/initializers.py,"get_config( self )",47, 12, 0
repos/python/keras/keras/initializers.py,"__init__( self , gain = 1 . , seed = None )",44, 4, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",56, 8, 0
repos/python/keras/keras/initializers.py,"get_config( self )",31, 12, 0
repos/python/keras/keras/initializers.py,"__init__( self , gain = 1 . )",33, 4, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",81, 16, 0
repos/python/keras/keras/initializers.py,"get_config( self )",30, 12, 0
repos/python/keras/keras/initializers.py,"lecun_uniform( seed = None )",84, 8, 0
repos/python/keras/keras/initializers.py,"glorot_normal( seed = None )",84, 11, 0
repos/python/keras/keras/initializers.py,"glorot_uniform( seed = None )",84, 11, 0
repos/python/keras/keras/initializers.py,"he_normal( seed = None )",79, 8, 0
repos/python/keras/keras/initializers.py,"lecun_normal( seed = None )",84, 8, 0
repos/python/keras/keras/initializers.py,"he_uniform( seed = None )",79, 8, 0
repos/python/keras/keras/initializers.py,"_compute_fans( shape , data_format = 'channels_last' )",73, 4, 0
repos/python/keras/keras/initializers.py,"serialize( initializer )",47, 4, 0
repos/python/keras/keras/initializers.py,"deserialize( config , custom_objects = None )",73, 36, 0
repos/python/keras/keras/initializers.py,"get( identifier )",74, 8, 0
repos/python/keras/keras/models.py,"_clone_functional_model( model , input_tensors = None )",76, 4, 0
repos/python/keras/keras/models.py,"_clone_sequential_model.clone( layer )",63, 8, 0
repos/python/keras/keras/models.py,"_clone_sequential_model( model , input_tensors = None )",78, 33, 0
repos/python/keras/keras/models.py,"clone_model( model , input_tensors = None )",75, 8, 0
repos/python/keras/keras/callbacks.py,"__init__( self , callbacks = None , queue_length = 10 )",57, 4, 0
repos/python/keras/keras/callbacks.py,"append( self , callback )",40, 8, 0
repos/python/keras/keras/callbacks.py,"set_params( self , params )",40, 8, 0
repos/python/keras/keras/callbacks.py,"set_model( self , model )",40, 8, 0
repos/python/keras/keras/callbacks.py,"on_epoch_begin( self , epoch , logs = None )",73, 8, 0
repos/python/keras/keras/callbacks.py,"on_epoch_end( self , epoch , logs = None )",47, 12, 0
repos/python/keras/keras/callbacks.py,"on_batch_begin( self , batch , logs = None )",76, 8, 0
repos/python/keras/keras/callbacks.py,"on_batch_end( self , batch , logs = None )",84, 11, 0
repos/python/keras/keras/callbacks.py,"on_train_begin( self , logs = None )",48, 8, 0
repos/python/keras/keras/callbacks.py,"on_train_end( self , logs = None )",42, 8, 0
repos/python/keras/keras/callbacks.py,"__iter__( self )",36, 8, 0
repos/python/keras/keras/callbacks.py,"__init__( self )",36, 8, 0
repos/python/keras/keras/callbacks.py,"set_params( self , params )",34, 4, 0
repos/python/keras/keras/callbacks.py,"set_model( self , model )",32, 4, 0
repos/python/keras/keras/callbacks.py,"on_epoch_begin( self , epoch , logs = None )",48, 4, 0
repos/python/keras/keras/callbacks.py,"on_epoch_end( self , epoch , logs = None )",46, 4, 0
repos/python/keras/keras/callbacks.py,"on_batch_begin( self , batch , logs = None )",48, 4, 0
repos/python/keras/keras/callbacks.py,"on_batch_end( self , batch , logs = None )",46, 4, 0
repos/python/keras/keras/callbacks.py,"on_train_begin( self , logs = None )",41, 4, 0
repos/python/keras/keras/callbacks.py,"on_train_end( self , logs = None )",39, 4, 0
repos/python/keras/keras/callbacks.py,"__init__( self , stateful_metrics = None )",58, 12, 0
repos/python/keras/keras/callbacks.py,"on_epoch_begin( self , epoch , logs = None )",48, 4, 0
repos/python/keras/keras/callbacks.py,"on_batch_end( self , batch , logs = None )",53, 20, 0
repos/python/keras/keras/callbacks.py,"on_epoch_end( self , epoch , logs = None )",62, 20, 0
repos/python/keras/keras/callbacks.py,"on_batch_end( self , batch , logs = None )",80, 16, 0
repos/python/keras/keras/callbacks.py,"__init__( self , count_mode = 'samples' , stateful_metrics = None )",45, 4, 0
repos/python/keras/keras/callbacks.py,"on_train_begin( self , logs = None )",46, 8, 0
repos/python/keras/keras/callbacks.py,"on_epoch_begin( self , epoch , logs = None )",75, 35, 0
repos/python/keras/keras/callbacks.py,"on_batch_begin( self , batch , logs = None )",48, 4, 0
repos/python/keras/keras/callbacks.py,"on_batch_end( self , batch , logs = None )",60, 12, 0
repos/python/keras/keras/callbacks.py,"on_epoch_end( self , epoch , logs = None )",60, 12, 0
repos/python/keras/keras/callbacks.py,"on_train_begin( self , logs = None )",41, 4, 0
repos/python/keras/keras/callbacks.py,"on_epoch_end( self , epoch , logs = None )",53, 12, 0
repos/python/keras/keras/callbacks.py,"__init__( self , filepath , monitor = 'val_loss' , verbose = 0 , save_best_only = False , save_weights_only = False , mode = 'auto' , period = 1 )",64, 4, 0
repos/python/keras/keras/callbacks.py,"on_epoch_end( self , epoch , logs = None )",86, 20, 0
repos/python/keras/keras/callbacks.py,"__init__( self , monitor = 'val_loss' , min_delta = 0 , patience = 0 , verbose = 0 , mode = 'auto' , baseline = None , restore_best_weights = False )",46, 17, 0
repos/python/keras/keras/callbacks.py,"on_train_begin( self , logs = None )",74, 12, 0
repos/python/keras/keras/callbacks.py,"on_epoch_end( self , epoch , logs = None )",73, 24, 0
repos/python/keras/keras/callbacks.py,"on_train_end( self , logs = None )",75, 12, 0
repos/python/keras/keras/callbacks.py,"get_monitor_value( self , logs )",76, 16, 0
repos/python/keras/keras/callbacks.py,"__init__( self , root = 'http://localhost:9000' , path = '/publish/epoch/end/' , field = 'data' , headers = None , send_as_json = False )",47, 17, 0
repos/python/keras/keras/callbacks.py,"on_epoch_end( self , epoch , logs = None )",86, 16, 0
repos/python/keras/keras/callbacks.py,"__init__( self , schedule , verbose = 0 )",54, 8, 0
repos/python/keras/keras/callbacks.py,"on_epoch_begin( self , epoch , logs = None )",74, 12, 0
repos/python/keras/keras/callbacks.py,"on_epoch_end( self , epoch , logs = None )",58, 8, 0
repos/python/keras/keras/callbacks.py,"__init__( self , log_dir = './logs' , histogram_freq = 0 , batch_size = 32 , write_graph = True , write_grads = False , write_images = False , embeddings_freq = 0 , embeddings_layer_names = None , embeddings_metadata = None , embeddings_data = None , update_freq = 'epoch' )",46, 17, 0
repos/python/keras/keras/callbacks.py,"set_model.is_indexed_slices( grad )",74, 28, 0
repos/python/keras/keras/callbacks.py,"set_model( self , model )",84, 28, 0
repos/python/keras/keras/callbacks.py,"on_epoch_end( self , epoch , logs = None )",87, 16, 0
repos/python/keras/keras/callbacks.py,"_write_logs( self , logs , index )",58, 16, 0
repos/python/keras/keras/callbacks.py,"on_train_end( self , _ )",31, 4, 0
repos/python/keras/keras/callbacks.py,"on_batch_end( self , batch , logs = None )",85, 12, 0
repos/python/keras/keras/callbacks.py,"__init__( self , monitor = 'val_loss' , factor = 0 . 1 , patience = 10 , verbose = 0 , mode = 'auto' , min_delta = 1e - 4 , cooldown = 0 , min_lr = 0 , ** kwargs )",79, 17, 0
repos/python/keras/keras/callbacks.py,"_reset( self )",80, 12, 0
repos/python/keras/keras/callbacks.py,"on_train_begin( self , logs = None )",41, 4, 0
repos/python/keras/keras/callbacks.py,"on_epoch_end( self , epoch , logs = None )",80, 34, 0
repos/python/keras/keras/callbacks.py,"in_cooldown( self )",41, 8, 0
repos/python/keras/keras/callbacks.py,"__init__( self , filename , separator = ',' , append = False )",63, 4, 0
repos/python/keras/keras/callbacks.py,"on_train_begin( self , logs = None )",70, 16, 0
repos/python/keras/keras/callbacks.py,"on_epoch_end.handle_value( k )",76, 12, 0
repos/python/keras/keras/callbacks.py,"on_epoch_end( self , epoch , logs = None )",82, 12, 0
repos/python/keras/keras/callbacks.py,"on_train_end( self , logs = None )",39, 4, 0
repos/python/keras/keras/callbacks.py,"__init__( self , on_epoch_begin = None , on_epoch_end = None , on_batch_begin = None , on_batch_end = None , on_train_begin = None , on_train_end = None , ** kwargs )",38, 17, 0
repos/python/keras/keras/losses.py,"mean_squared_error( y_true , y_pred )",54, 4, 0
repos/python/keras/keras/losses.py,"mean_absolute_error( y_true , y_pred )",51, 4, 0
repos/python/keras/keras/losses.py,"mean_absolute_percentage_error( y_true , y_pred )",59, 4, 0
repos/python/keras/keras/losses.py,"mean_squared_logarithmic_error( y_true , y_pred )",63, 4, 0
repos/python/keras/keras/losses.py,"squared_hinge( y_true , y_pred )",74, 4, 0
repos/python/keras/keras/losses.py,"hinge( y_true , y_pred )",64, 4, 0
repos/python/keras/keras/losses.py,"categorical_hinge( y_true , y_pred )",49, 4, 0
repos/python/keras/keras/losses.py,"logcosh._logcosh( x )",51, 8, 0
repos/python/keras/keras/losses.py,"logcosh( y_true , y_pred )",79, 4, 0
repos/python/keras/keras/losses.py,"categorical_crossentropy( y_true , y_pred )",54, 4, 0
repos/python/keras/keras/losses.py,"sparse_categorical_crossentropy( y_true , y_pred )",61, 4, 0
repos/python/keras/keras/losses.py,"binary_crossentropy( y_true , y_pred )",66, 4, 0
repos/python/keras/keras/losses.py,"kullback_leibler_divergence( y_true , y_pred )",59, 4, 0
repos/python/keras/keras/losses.py,"poisson( y_true , y_pred )",74, 4, 0
repos/python/keras/keras/losses.py,"cosine_proximity( y_true , y_pred )",45, 4, 0
repos/python/keras/keras/losses.py,"serialize( loss )",40, 4, 0
repos/python/keras/keras/losses.py,"deserialize( name , custom_objects = None )",75, 36, 0
repos/python/keras/keras/losses.py,"get( identifier )",66, 25, 0
repos/python/keras/keras/metrics.py,"binary_accuracy( y_true , y_pred )",61, 4, 0
repos/python/keras/keras/metrics.py,"categorical_accuracy( y_true , y_pred )",54, 26, 0
repos/python/keras/keras/metrics.py,"sparse_categorical_accuracy( y_true , y_pred )",79, 4, 0
