File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/python/keras/keras/metrics.py,"binary_accuracy( y_true , y_pred )",2, 61, 4, 0
repos/python/keras/keras/metrics.py,"categorical_accuracy( y_true , y_pred )",4, 54, 26, 0
repos/python/keras/keras/metrics.py,"sparse_categorical_accuracy( y_true , y_pred )",8, 79, 4, 0
repos/python/keras/keras/metrics.py,"top_k_categorical_accuracy( y_true , y_pred , k = 5 )",2, 77, 4, 0
repos/python/keras/keras/metrics.py,"sparse_top_k_categorical_accuracy( y_true , y_pred , k = 5 )",4, 77, 4, 0
repos/python/keras/keras/metrics.py,"serialize( metric )",2, 42, 4, 0
repos/python/keras/keras/metrics.py,"deserialize( config , custom_objects = None )",5, 77, 36, 0
repos/python/keras/keras/metrics.py,"get( identifier )",11, 68, 25, 0
repos/python/keras/keras/models.py,"_clone_functional_model( model , input_tensors = None )",150, 76, 4, 0
repos/python/keras/keras/models.py,"_clone_sequential_model.clone( layer )",2, 63, 8, 0
repos/python/keras/keras/models.py,"_clone_sequential_model( model , input_tensors = None )",52, 78, 33, 0
repos/python/keras/keras/models.py,"clone_model( model , input_tensors = None )",26, 75, 8, 0
repos/python/keras/keras/activations.py,"softmax( x , axis = - 1 )",23, 78, 8, 0
repos/python/keras/keras/activations.py,"elu( x , alpha = 1 . 0 )",16, 66, 8, 0
repos/python/keras/keras/activations.py,"selu( x )",26, 79, 8, 0
repos/python/keras/keras/activations.py,"softplus( x )",10, 52, 8, 0
repos/python/keras/keras/activations.py,"softsign( x )",10, 53, 8, 0
repos/python/keras/keras/activations.py,"relu( x , alpha = 0 . , max_value = None , threshold = 0 . )",20, 76, 4, 0
repos/python/keras/keras/activations.py,"tanh( x )",4, 47, 4, 0
repos/python/keras/keras/activations.py,"sigmoid( x )",4, 36, 4, 0
repos/python/keras/keras/activations.py,"hard_sigmoid( x )",16, 49, 8, 0
repos/python/keras/keras/activations.py,"exponential( x )",4, 49, 4, 0
repos/python/keras/keras/activations.py,"linear( x )",4, 51, 4, 0
repos/python/keras/keras/activations.py,"serialize( activation )",2, 31, 4, 0
repos/python/keras/keras/activations.py,"deserialize( name , custom_objects = None )",6, 53, 8, 0
repos/python/keras/keras/activations.py,"get( identifier )",29, 78, 16, 0
repos/python/keras/keras/regularizers.py,"__call__( self , x )",2, 27, 4, 0
repos/python/keras/keras/regularizers.py,"from_config( cls , config )",2, 34, 4, 0
repos/python/keras/keras/regularizers.py,"__init__( self , l1 = 0 . , l2 = 0 . )",3, 39, 8, 0
repos/python/keras/keras/regularizers.py,"__call__( self , x )",7, 59, 12, 0
repos/python/keras/keras/regularizers.py,"get_config( self )",3, 38, 8, 0
repos/python/keras/keras/regularizers.py,"l1( l = 0 . 01 )",2, 22, 4, 0
repos/python/keras/keras/regularizers.py,"l2( l = 0 . 01 )",2, 22, 4, 0
repos/python/keras/keras/regularizers.py,"l1_l2( l1 = 0 . 01 , l2 = 0 . 01 )",2, 30, 4, 0
repos/python/keras/keras/regularizers.py,"serialize( regularizer )",2, 47, 4, 0
repos/python/keras/keras/regularizers.py,"deserialize( config , custom_objects = None )",5, 73, 36, 0
repos/python/keras/keras/regularizers.py,"get( identifier )",13, 74, 8, 0
repos/python/keras/keras/optimizers.py,"clip_norm( g , c , n )",38, 72, 4, 0
repos/python/keras/keras/optimizers.py,"__init__( self , ** kwargs )",9, 66, 32, 0
repos/python/keras/keras/optimizers.py,"get_updates( self , loss , params )",2, 41, 4, 0
repos/python/keras/keras/optimizers.py,"get_gradients( self , loss , params )",14, 80, 12, 0
repos/python/keras/keras/optimizers.py,"set_weights( self , weights )",32, 76, 29, 0
repos/python/keras/keras/optimizers.py,"get_weights( self )",7, 70, 8, 0
repos/python/keras/keras/optimizers.py,"get_config( self )",7, 49, 12, 0
repos/python/keras/keras/optimizers.py,"from_config( cls , config )",2, 34, 4, 0
repos/python/keras/keras/optimizers.py,"__init__( self , lr = 0 . 01 , momentum = 0 . , decay = 0 . , nesterov = False , ** kwargs )",2, 55, 4, 0
repos/python/keras/keras/optimizers.py,"get_updates( self , loss , params )",27, 77, 54, 0
repos/python/keras/keras/optimizers.py,"get_config( self )",7, 70, 8, 0
repos/python/keras/keras/optimizers.py,"__init__( self , lr = 0 . 001 , rho = 0 . 9 , epsilon = None , decay = 0 . , ** kwargs )",2, 66, 4, 0
repos/python/keras/keras/optimizers.py,"get_updates( self , loss , params )",23, 83, 8, 0
repos/python/keras/keras/optimizers.py,"get_config( self )",7, 70, 8, 0
repos/python/keras/keras/optimizers.py,"__init__( self , lr = 0 . 01 , epsilon = None , decay = 0 . , ** kwargs )",10, 78, 12, 0
repos/python/keras/keras/optimizers.py,"get_updates( self , loss , params )",23, 77, 54, 0
repos/python/keras/keras/optimizers.py,"get_config( self )",6, 70, 8, 0
repos/python/keras/keras/optimizers.py,"__init__( self , lr = 1 . 0 , rho = 0 . 95 , epsilon = None , decay = 0 . , ** kwargs )",2, 65, 4, 0
repos/python/keras/keras/optimizers.py,"get_updates( self , loss , params )",32, 83, 12, 0
repos/python/keras/keras/optimizers.py,"get_config( self )",7, 70, 8, 0
repos/python/keras/keras/optimizers.py,"__init__( self , lr = 0 . 001 , beta_1 = 0 . 9 , beta_2 = 0 . 999 , epsilon = None , decay = 0 . , amsgrad = False , ** kwargs )",2, 67, 17, 0
repos/python/keras/keras/optimizers.py,"get_updates( self , loss , params )",41, 80, 12, 0
repos/python/keras/keras/optimizers.py,"get_config( self )",9, 70, 8, 0
repos/python/keras/keras/optimizers.py,"__init__( self , lr = 0 . 002 , beta_1 = 0 . 9 , beta_2 = 0 . 999 , epsilon = None , decay = 0 . , ** kwargs )",2, 59, 4, 0
repos/python/keras/keras/optimizers.py,"get_updates( self , loss , params )",35, 77, 54, 0
repos/python/keras/keras/optimizers.py,"get_config( self )",8, 70, 8, 0
repos/python/keras/keras/optimizers.py,"__init__( self , lr = 0 . 002 , beta_1 = 0 . 9 , beta_2 = 0 . 999 , epsilon = None , schedule_decay = 0 . 004 , ** kwargs )",2, 64, 17, 0
repos/python/keras/keras/optimizers.py,"get_updates( self , loss , params )",43, 82, 8, 0
repos/python/keras/keras/optimizers.py,"get_config( self )",8, 70, 8, 0
repos/python/keras/keras/optimizers.py,"__init__( self , optimizer )",4, 78, 12, 0
repos/python/keras/keras/optimizers.py,"get_updates( self , loss , params )",7, 72, 8, 0
repos/python/keras/keras/optimizers.py,"weights( self )",2, 34, 8, 0
repos/python/keras/keras/optimizers.py,"get_config( self )",2, 34, 8, 0
repos/python/keras/keras/optimizers.py,"from_config( self , config )",2, 35, 4, 0
repos/python/keras/keras/optimizers.py,"serialize( optimizer )",2, 45, 4, 0
repos/python/keras/keras/optimizers.py,"deserialize( config , custom_objects = None )",30, 71, 36, 0
repos/python/keras/keras/optimizers.py,"get( identifier )",31, 72, 12, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",2, 43, 4, 0
repos/python/keras/keras/initializers.py,"get_config( self )",2, 26, 4, 0
repos/python/keras/keras/initializers.py,"from_config( cls , config )",6, 54, 12, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",2, 55, 8, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",2, 55, 8, 0
repos/python/keras/keras/initializers.py,"__init__( self , value = 0 )",2, 33, 4, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",2, 64, 8, 0
repos/python/keras/keras/initializers.py,"get_config( self )",2, 37, 8, 0
repos/python/keras/keras/initializers.py,"__init__( self , mean = 0 . , stddev = 0 . 05 , seed = None )",4, 57, 4, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",3, 62, 8, 0
repos/python/keras/keras/initializers.py,"get_config( self )",6, 35, 12, 0
repos/python/keras/keras/initializers.py,"__init__( self , minval = - 0 . 05 , maxval = 0 . 05 , seed = None )",4, 62, 4, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",3, 65, 8, 0
repos/python/keras/keras/initializers.py,"get_config( self )",6, 35, 12, 0
repos/python/keras/keras/initializers.py,"__init__( self , mean = 0 . , stddev = 0 . 05 , seed = None )",4, 57, 4, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",3, 65, 8, 0
repos/python/keras/keras/initializers.py,"get_config( self )",6, 35, 12, 0
repos/python/keras/keras/initializers.py,"__init__( self , scale = 1 . 0 , mode = 'fan_in' , distribution = 'normal' , seed = None )",4, 40, 17, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",18, 80, 12, 0
repos/python/keras/keras/initializers.py,"get_config( self )",7, 47, 12, 0
repos/python/keras/keras/initializers.py,"__init__( self , gain = 1 . , seed = None )",3, 44, 4, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",15, 56, 8, 0
repos/python/keras/keras/initializers.py,"get_config( self )",5, 31, 12, 0
repos/python/keras/keras/initializers.py,"__init__( self , gain = 1 . )",2, 33, 4, 0
repos/python/keras/keras/initializers.py,"__call__( self , shape , dtype = None )",6, 81, 16, 0
repos/python/keras/keras/initializers.py,"get_config( self )",4, 30, 12, 0
repos/python/keras/keras/initializers.py,"lecun_uniform( seed = None )",20, 84, 8, 0
repos/python/keras/keras/initializers.py,"glorot_normal( seed = None )",22, 84, 11, 0
repos/python/keras/keras/initializers.py,"glorot_uniform( seed = None )",22, 84, 11, 0
repos/python/keras/keras/initializers.py,"he_normal( seed = None )",21, 79, 8, 0
repos/python/keras/keras/initializers.py,"lecun_normal( seed = None )",21, 84, 8, 0
repos/python/keras/keras/initializers.py,"he_uniform( seed = None )",21, 79, 8, 0
repos/python/keras/keras/initializers.py,"_compute_fans( shape , data_format = 'channels_last' )",38, 73, 4, 0
repos/python/keras/keras/initializers.py,"serialize( initializer )",2, 47, 4, 0
repos/python/keras/keras/initializers.py,"deserialize( config , custom_objects = None )",5, 73, 36, 0
repos/python/keras/keras/initializers.py,"get( identifier )",11, 74, 8, 0
repos/python/keras/keras/callbacks.py,"__init__( self , callbacks = None , queue_length = 10 )",7, 57, 4, 0
repos/python/keras/keras/callbacks.py,"_reset_batch_timing( self )",3, 82, 8, 0
repos/python/keras/keras/callbacks.py,"append( self , callback )",2, 40, 8, 0
repos/python/keras/keras/callbacks.py,"set_params( self , params )",4, 40, 8, 0
repos/python/keras/keras/callbacks.py,"set_model( self , model )",4, 40, 8, 0
repos/python/keras/keras/callbacks.py,"_call_batch_hook( self , mode , hook , batch , logs = None )",29, 75, 8, 0
repos/python/keras/keras/callbacks.py,"_call_begin_hook( self , mode )",8, 73, 8, 0
repos/python/keras/keras/callbacks.py,"_call_end_hook( self , mode )",8, 71, 8, 0
repos/python/keras/keras/callbacks.py,"on_batch_begin( self , batch , logs = None )",2, 65, 8, 0
repos/python/keras/keras/callbacks.py,"on_batch_end( self , batch , logs = None )",2, 63, 8, 0
repos/python/keras/keras/callbacks.py,"on_epoch_begin( self , epoch , logs = None )",14, 85, 12, 0
repos/python/keras/keras/callbacks.py,"on_epoch_end( self , epoch , logs = None )",14, 84, 16, 0
repos/python/keras/keras/callbacks.py,"on_train_batch_begin( self , batch , logs = None )",9, 77, 12, 0
repos/python/keras/keras/callbacks.py,"on_train_batch_end( self , batch , logs = None )",8, 69, 12, 0
repos/python/keras/keras/callbacks.py,"on_test_batch_begin( self , batch , logs = None )",9, 77, 12, 0
repos/python/keras/keras/callbacks.py,"on_test_batch_end( self , batch , logs = None )",8, 69, 12, 0
repos/python/keras/keras/callbacks.py,"on_predict_batch_begin( self , batch , logs = None )",9, 77, 12, 0
repos/python/keras/keras/callbacks.py,"on_predict_batch_end( self , batch , logs = None )",8, 70, 8, 0
repos/python/keras/keras/callbacks.py,"on_train_begin( self , logs = None )",9, 85, 12, 0
repos/python/keras/keras/callbacks.py,"on_train_end( self , logs = None )",9, 85, 12, 0
repos/python/keras/keras/callbacks.py,"on_test_begin( self , logs = None )",9, 85, 12, 0
repos/python/keras/keras/callbacks.py,"on_test_end( self , logs = None )",9, 85, 12, 0
