File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
github/python/loguru/docs/conf.py,"setup( app )", 3, 44, 4, 0
github/python/loguru/loguru/_datetime.py,"__format__.get( m )", 5, 34, 16, 0
github/python/loguru/loguru/_datetime.py,"__format__( self , spec )", 60, 87, 8, 0
github/python/loguru/loguru/_datetime.py,"now( )", 5, 73, 4, 0
github/python/loguru/loguru/_defaults.py,"env( key , type_ , default = None )", 23, 93, 16, 0
github/python/loguru/loguru/_file_sink.py,"__init__( self )", 2, 30, 8, 0
github/python/loguru/loguru/_file_sink.py,"__format__( self , spec )", 4, 46, 8, 0
github/python/loguru/loguru/_file_sink.py,"__init__( self , path , * , rotation = None , retention = None , compression = None , delay = False , mode = "a" , buffering = 1 , encoding = None , ** kwargs", 12, 26, 8, 0
github/python/loguru/loguru/_file_sink.py,"setup_write_function( self )", 7, 45, 12, 0
github/python/loguru/loguru/_file_sink.py,"delayed_write( self , message )", 4, 52, 8, 0
github/python/loguru/loguru/_file_sink.py,"rotating_write( self , message )", 6, 55, 8, 0
github/python/loguru/loguru/_file_sink.py,"initialize_file( self , * , rename_existing )", 18, 76, 12, 0
github/python/loguru/loguru/_file_sink.py,"format_path( self )", 3, 67, 8, 0
github/python/loguru/loguru/_file_sink.py,"make_glob_pattern( path )", 9, 92, 8, 0
github/python/loguru/loguru/_file_sink.py,"make_rotation_function.make_rotation_function.make_from_size.rotation_function( message , file )", 3, 64, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_rotation_function.make_from_size( size_limit )", 6, 64, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_rotation_function.make_rotation_function.make_from_time.rotation_function( message , file )", 8, 74, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_rotation_function.make_from_time( step_forward , time_init = None )", 22, 74, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_rotation_function.next_day( t )", 5, 56, 24, 0
github/python/loguru/loguru/_file_sink.py,"make_rotation_function.next_day( t )", 2, 54, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_rotation_function.add_interval( t )", 2, 36, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_rotation_function( self , rotation )", 79, 92, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_retention_function.make_retention_function.make_from_filter.retention_function( logs )", 3, 46, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_retention_function.make_from_filter( filter_logs )", 6, 46, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_retention_function.key_log( log )", 2, 53, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_retention_function.filter_logs( logs )", 2, 61, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_retention_function.filter_logs( logs )", 3, 85, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_retention_function( self , retention )", 38, 94, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_compression_function.make_compression_function.make_compress_generic.compress( path_in , path_out )", 4, 68, 20, 0
github/python/loguru/loguru/_file_sink.py,"make_compression_function.make_compress_generic( opener , ** kwargs )", 7, 68, 20, 0
github/python/loguru/loguru/_file_sink.py,"make_compression_function.make_compression_function.make_compress_archive.compress( path_in , path_out )", 3, 68, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_compression_function.make_compress_archive( mode )", 8, 68, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_compression_function.make_compression_function.make_compress_zipped.compress( path_in , path_out )", 3, 97, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_compression_function.make_compress_zipped( )", 8, 97, 16, 0
github/python/loguru/loguru/_file_sink.py,"make_compression_function.compression_function( path_in )", 10, 88, 20, 0
github/python/loguru/loguru/_file_sink.py,"make_compression_function( self , compression )", 85, 98, 16, 0
github/python/loguru/loguru/_file_sink.py,"stop( self )", 2, 64, 8, 0
github/python/loguru/loguru/_file_sink.py,"terminate( self , * , teardown )", 14, 85, 12, 0
github/python/loguru/loguru/_get_frame.py,"get_frame_fallback( n )", 8, 46, 8, 0
github/python/loguru/loguru/_get_frame.py,"get_get_frame_function( )", 6, 39, 8, 0
github/python/loguru/loguru/_handler.py,"__init__( self , * , writer , stopper , levelno , formatter , is_formatter_dynamic , filter_ , colorize , serialize , backtrace , catch , enqueue , encoding , colors = [ ]", 16, 30, 8, 0
github/python/loguru/loguru/_handler.py,"serialize_record( text , record )", 25, 100, 16, 0
github/python/loguru/loguru/_handler.py,"make_ansimarkup( color )", 5, 68, 8, 0
github/python/loguru/loguru/_handler.py,"decolorize_format( format_ )", 3, 41, 8, 0
github/python/loguru/loguru/_handler.py,"colorize_format( format_ , color )", 3, 44, 8, 0
github/python/loguru/loguru/_handler.py,"update_format( self , color )", 4, 97, 8, 0
github/python/loguru/loguru/_handler.py,"format_message_only( format_ , message )", 21, 91, 8, 0
github/python/loguru/loguru/_handler.py,"handle_error( self , record = None )", 23, 73, 12, 0
github/python/loguru/loguru/_handler.py,"emit( self , record , level_color , ansi_message , raw )", 61, 99, 20, 0
github/python/loguru/loguru/_handler.py,"queued_writer( self )", 13, 55, 12, 0
github/python/loguru/loguru/_handler.py,"stop( self )", 5, 33, 12, 0
github/python/loguru/loguru/_logger.py,"__init__( self , extra , exception , record , lazy , ansi , raw , depth )", 8, 74, 4, 0
github/python/loguru/loguru/_logger.py,"start( self , sink , * , level = _defaults . LOGURU_LEVEL , format = _defaults . LOGURU_FORMAT , filter = _defaults . LOGURU_FILTER , colorize = _defaults . LOGURU_COLORIZE , serialize = _defaults . LOGURU_SERIALIZE , backtrace = _defaults . LOGURU_BACKTRACE , enqueue = _defaults . LOGURU_ENQUEUE , catch = _defaults . LOGURU_CATCH , ** kwargs", 13, 46, 8, 0
github/python/loguru/loguru/_logger.py,"write( m )", 2, 53, 20, 0
github/python/loguru/loguru/_logger.py,"writer( m )", 3, 35, 20, 0
github/python/loguru/loguru/_logger.py,"stopper( )", 2, 32, 20, 0
github/python/loguru/loguru/_logger.py,"writer( m )", 16, 75, 20, 0
github/python/loguru/loguru/_logger.py,"writer( m )", 2, 45, 20, 0
github/python/loguru/loguru/_logger.py,"stopper( )", 2, 28, 16, 0
github/python/loguru/loguru/_logger.py,"filter_func( r )", 2, 60, 16, 0
github/python/loguru/loguru/_logger.py,"stop( self , handler_id = None )", 31, 98, 12, 0
github/python/loguru/loguru/_logger.py,"catch( self , exception = Exception , * , level = "ERROR" , reraise = False , message = "An error has been caught in function '{record[function]}', " "process '{record[process].name}' ({record[process].id}), " "thread '{record[thread].name}' ({record[thread].id}):"", 9, 78, 8, 0
github/python/loguru/loguru/_logger.py,"__init__( self , as_decorator )", 2, 50, 16, 0
github/python/loguru/loguru/_logger.py,"__enter__( self_ )", 2, 34, 12, 0
