File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/python/models/research/gan/mnist/util.py,"mnist_score( images , graph_def_filename = None , input_tensor = INPUT_TENSOR , output_tensor = OUTPUT_TENSOR , num_batches = 1 )",2, 76, 0, 0
repos/python/models/research/gan/mnist/util.py,"mnist_frechet_distance( real_images , generated_images , graph_def_filename = None , input_tensor = INPUT_TENSOR , output_tensor = OUTPUT_TENSOR , num_batches = 1 )",3, 79, 27, 0
repos/python/models/research/gan/mnist/util.py,"mnist_cross_entropy( images , one_hot_labels , graph_def_filename = None , input_tensor = INPUT_TENSOR , output_tensor = OUTPUT_TENSOR )",2, 81, 24, 0
repos/python/models/research/gan/mnist/util.py,"get_eval_noise_categorical( noise_samples , categorical_sample_points , continuous_sample_points , unstructured_noise_dims , continuous_noise_dims )",3, 72, 4, 0
repos/python/models/research/gan/mnist/util.py,"get_eval_noise_continuous_dim1( noise_samples , categorical_sample_points , continuous_sample_points , unstructured_noise_dims , continuous_noise_dims )",3, 87, 4, 0
repos/python/models/research/gan/mnist/util.py,"get_eval_noise_continuous_dim2( noise_samples , categorical_sample_points , continuous_sample_points , unstructured_noise_dims , continuous_noise_dims )",3, 87, 4, 0
repos/python/models/research/gan/mnist/util.py,"get_infogan_noise( batch_size , categorical_dim , structured_continuous_dim , total_continuous_noise_dims )",2, 78, 0, 0
repos/python/models/research/gan/mnist/util.py,"_graph_def_from_par_or_disk( filename )",5, 67, 4, 0
repos/python/models/research/gan/mnist/train_test.py,"test_run_one_train_step( self , mock_data_provider )",15, 80, 4, 0
repos/python/models/research/gan/mnist/train_test.py,"test_build_graph( self , gan_type )",13, 74, 4, 0
repos/python/models/research/gan/mnist/util_test.py,"real_digit( )",2, 59, 2, 0
repos/python/models/research/gan/mnist/util_test.py,"fake_digit( )",2, 59, 2, 0
repos/python/models/research/gan/mnist/util_test.py,"one_hot_real( )",2, 30, 2, 0
repos/python/models/research/gan/mnist/util_test.py,"one_hot1( )",2, 42, 2, 0
repos/python/models/research/gan/mnist/util_test.py,"test_any_batch_size( self )",6, 80, 8, 0
repos/python/models/research/gan/mnist/util_test.py,"test_deterministic( self )",10, 45, 4, 0
repos/python/models/research/gan/mnist/util_test.py,"test_single_example_correct( self )",6, 52, 6, 0
repos/python/models/research/gan/mnist/util_test.py,"test_minibatch_correct( self )",5, 66, 8, 0
repos/python/models/research/gan/mnist/util_test.py,"test_batch_splitting_doesnt_change_value( self )",7, 65, 10, 0
repos/python/models/research/gan/mnist/util_test.py,"test_any_batch_size( self )",7, 72, 17, 0
repos/python/models/research/gan/mnist/util_test.py,"test_deterministic( self )",12, 50, 4, 0
repos/python/models/research/gan/mnist/util_test.py,"test_single_example_correct( self )",6, 51, 6, 0
repos/python/models/research/gan/mnist/util_test.py,"test_minibatch_correct( self )",6, 66, 8, 0
repos/python/models/research/gan/mnist/util_test.py,"test_batch_splitting_doesnt_change_value( self )",8, 65, 10, 0
repos/python/models/research/gan/mnist/util_test.py,"test_any_batch_size( self )",11, 72, 4, 0
repos/python/models/research/gan/mnist/util_test.py,"test_deterministic( self )",10, 66, 4, 0
repos/python/models/research/gan/mnist/util_test.py,"test_single_example_correct( self )",13, 74, 4, 0
repos/python/models/research/gan/mnist/util_test.py,"test_minibatch_correct( self )",11, 66, 8, 0
repos/python/models/research/gan/mnist/util_test.py,"test_get_noise_categorical_syntax( self )",7, 61, 8, 0
repos/python/models/research/gan/mnist/util_test.py,"test_get_noise_continuous_dim1_syntax( self )",7, 61, 8, 0
repos/python/models/research/gan/mnist/util_test.py,"test_get_noise_continuous_dim2_syntax( self )",7, 61, 8, 0
repos/python/models/research/gan/mnist/util_test.py,"test_get_infogan_syntax( self )",6, 40, 8, 0
repos/python/models/research/gan/mnist/networks.py,"_generator_helper( noise , is_conditional , one_hot_labels , weight_decay , is_training )",2, 71, 4, 0
repos/python/models/research/gan/mnist/networks.py,"unconditional_generator( noise , weight_decay = 2 . 5e - 5 , is_training = True )",14, 80, 4, 0
repos/python/models/research/gan/mnist/networks.py,"conditional_generator( inputs , weight_decay = 2 . 5e - 5 , is_training = True )",16, 80, 4, 0
repos/python/models/research/gan/mnist/networks.py,"infogan_generator( inputs , categorical_dim , weight_decay = 2 . 5e - 5 , is_training = True )",2, 68, 0, 0
repos/python/models/research/gan/mnist/networks.py,"_discriminator_helper( img , is_conditional , one_hot_labels , weight_decay )",28, 78, 0, 0
repos/python/models/research/gan/mnist/networks.py,"unconditional_discriminator( img , unused_conditioning , weight_decay = 2 . 5e - 5 )",16, 80, 0, 0
repos/python/models/research/gan/mnist/networks.py,"conditional_discriminator( img , conditioning , weight_decay = 2 . 5e - 5 )",14, 77, 4, 0
repos/python/models/research/gan/mnist/networks.py,"infogan_discriminator( img , unused_conditioning , weight_decay = 2 . 5e - 5 , categorical_dim = 10 , continuous_dim = 2 )",2, 73, 0, 0
repos/python/models/research/gan/mnist/conditional_eval.py,"main( _ , run_eval_loop = True )",38, 76, 24, 0
repos/python/models/research/gan/mnist/conditional_eval.py,"_get_generator_inputs( num_images_per_class , num_classes , noise_dims )",9, 76, 2, 0
repos/python/models/research/gan/mnist/eval_test.py,"test_build_graph( self , eval_real_images )",3, 52, 4, 0
repos/python/models/research/gan/mnist/data_provider_test.py,"test_mnist_data_reading( self )",15, 68, 8, 0
repos/python/models/research/gan/mnist/infogan_eval.py,"main.generator_fn( inputs )",3, 59, 8, 0
repos/python/models/research/gan/mnist/infogan_eval.py,"main( _ , run_eval_loop = True )",57, 81, 2, 0
repos/python/models/research/gan/mnist/infogan_eval.py,"_validate_noises( noises )",18, 65, 6, 0
repos/python/models/research/gan/mnist/infogan_eval.py,"_get_write_image_ops( eval_dir , filename , images )",5, 71, 6, 0
repos/python/models/research/gan/mnist/train.py,"_learning_rate( gan_type )",7, 77, 2, 0
repos/python/models/research/gan/mnist/train.py,"main( _ )",80, 77, 2, 0
repos/python/models/research/gan/mnist/data_provider.py,"provide_data( split_name , batch_size , dataset_dir , num_readers = 1 , num_threads = 1 )",2, 69, 0, 0
repos/python/models/research/gan/mnist/data_provider.py,"float_image_to_uint8( image )",13, 74, 2, 0
repos/python/models/research/gan/mnist/infogan_eval_test.py,"test_build_graph( self )",2, 49, 4, 0
repos/python/models/research/gan/mnist/eval.py,"main( _ , run_eval_loop = True )",38, 80, 22, 0
repos/python/models/research/gan/mnist/conditional_eval_test.py,"test_build_graph( self )",2, 53, 4, 0
repos/python/models/research/gan/stargan/layers_test.py,"test_residual_block( self )",19, 56, 6, 0
repos/python/models/research/gan/stargan/layers_test.py,"test_generator_down_sample( self )",14, 68, 6, 0
repos/python/models/research/gan/stargan/layers_test.py,"test_generator_bottleneck( self )",14, 62, 4, 0
repos/python/models/research/gan/stargan/layers_test.py,"test_generator_up_sample( self )",15, 68, 4, 0
repos/python/models/research/gan/stargan/layers_test.py,"test_discriminator_input_hidden( self )",14, 68, 4, 0
repos/python/models/research/gan/stargan/layers_test.py,"test_discriminator_output_source( self )",14, 69, 4, 0
repos/python/models/research/gan/stargan/layers_test.py,"test_discriminator_output_class( self )",15, 80, 4, 0
repos/python/models/research/gan/stargan/train_test.py,"_test_generator( input_images , _ )",3, 68, 2, 0
repos/python/models/research/gan/stargan/train_test.py,"_test_discriminator( inputs , num_domains )",14, 56, 2, 0
repos/python/models/research/gan/stargan/train_test.py,"test_define_model( self )",17, 71, 4, 0
repos/python/models/research/gan/stargan/train_test.py,"test_get_lr( self , mock_get_or_create_global_step )",11, 67, 6, 0
repos/python/models/research/gan/stargan/train_test.py,"test_define_train_ops( self , mock_summary_scalar )",19, 56, 2, 0
repos/python/models/research/gan/stargan/train_test.py,"test_get_train_step( self )",11, 63, 4, 0
repos/python/models/research/gan/stargan/train_test.py,"test_main( self , mock_provide_data )",12, 81, 4, 0
repos/python/models/research/gan/stargan/network_test.py,"test_generator( self )",16, 67, 4, 0
repos/python/models/research/gan/stargan/network_test.py,"test_discriminator( self )",18, 80, 6, 0
repos/python/models/research/gan/stargan/ops.py,"_padding_arg( h , w , input_format )",19, 73, 4, 0
repos/python/models/research/gan/stargan/ops.py,"pad( input_net , padding_size )",23, 80, 4, 0
repos/python/models/research/gan/stargan/ops.py,"condition_input_with_pixel_padding( input_tensor , condition_tensor )",28, 81, 4, 0
repos/python/models/research/gan/stargan/data_provider_test.py,"test_data_provider( self , mock_provide_custom_data )",20, 80, 8, 0
repos/python/models/research/gan/stargan/network.py,"generator( inputs , targets )",30, 95, 2, 0
