File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/python/requests/setup.py,"initialize_options( self )",7, 54, 12, 0
repos/python/requests/setup.py,"finalize_options( self )",4, 31, 8, 0
repos/python/requests/setup.py,"run_tests( self )",5, 24, 8, 0
repos/python/requests/tests/test_testserver.py,"test_basic.handler( sock )",4, 33, 12, 0
repos/python/requests/tests/test_testserver.py,"test_basic( self )",17, 25, 12, 0
repos/python/requests/tests/test_testserver.py,"test_server_closes( self )",11, 43, 12, 0
repos/python/requests/tests/test_testserver.py,"test_text_response( self )",14, 54, 12, 0
repos/python/requests/tests/test_testserver.py,"test_basic_response( self )",7, 54, 12, 0
repos/python/requests/tests/test_testserver.py,"test_basic_waiting_server( self )",11, 55, 12, 0
repos/python/requests/tests/test_testserver.py,"test_multiple_requests( self )",15, 45, 12, 0
repos/python/requests/tests/test_testserver.py,"test_request_recovery( self )",21, 59, 8, 0
repos/python/requests/tests/test_testserver.py,"test_requests_after_timeout_are_not_received( self )",12, 48, 8, 0
repos/python/requests/tests/test_testserver.py,"test_request_recovery_with_bigger_timeout( self )",13, 49, 8, 0
repos/python/requests/tests/test_testserver.py,"test_server_finishes_on_error( self )",8, 48, 8, 0
repos/python/requests/tests/test_testserver.py,"test_server_finishes_when_no_connections( self )",7, 48, 8, 0
repos/python/requests/tests/test_utils.py,"test_io_streams( self , stream , value )",4, 45, 8, 0
repos/python/requests/tests/test_utils.py,"test_super_len_correctly_calculates_len_of_partially_read_file( self )",5, 33, 8, 0
repos/python/requests/tests/test_utils.py,"test_super_len_handles_files_raising_weird_errors_in_tell.__len__( self )",2, 25, 12, 0
repos/python/requests/tests/test_utils.py,"test_super_len_handles_files_raising_weird_errors_in_tell.tell( self )",2, 30, 16, 0
repos/python/requests/tests/test_utils.py,"test_super_len_handles_files_raising_weird_errors_in_tell( self , error )",10, 42, 8, 0
repos/python/requests/tests/test_utils.py,"test_super_len_tell_ioerror.tell( self )",2, 30, 16, 0
repos/python/requests/tests/test_utils.py,"test_super_len_tell_ioerror.seek( self , offset , whence )",2, 21, 12, 0
repos/python/requests/tests/test_utils.py,"test_super_len_tell_ioerror( self , error )",10, 47, 8, 0
repos/python/requests/tests/test_utils.py,"test_string( self )",2, 38, 8, 0
repos/python/requests/tests/test_utils.py,"test_file( self , tmpdir , mode , warnings_num , recwarn )",6, 44, 8, 0
repos/python/requests/tests/test_utils.py,"test_super_len_with__len__( self )",4, 28, 8, 0
repos/python/requests/tests/test_utils.py,"test_super_len_with_no__len__.__init__( self )",2, 29, 12, 0
repos/python/requests/tests/test_utils.py,"test_super_len_with_no__len__( self )",6, 41, 8, 0
repos/python/requests/tests/test_utils.py,"test_super_len_with_tell( self )",5, 35, 8, 0
repos/python/requests/tests/test_utils.py,"test_super_len_with_fileno( self )",5, 40, 8, 0
repos/python/requests/tests/test_utils.py,"test_super_len_with_no_matches( self )",3, 40, 8, 0
repos/python/requests/tests/test_utils.py,"test_valid( self , value , expected )",2, 50, 8, 0
repos/python/requests/tests/test_utils.py,"test_invalid( self )",3, 38, 8, 0
repos/python/requests/tests/test_utils.py,"test_valid( self , value , expected )",2, 55, 8, 0
repos/python/requests/tests/test_utils.py,"test_is_filename( self )",2, 80, 8, 0
repos/python/requests/tests/test_utils.py,"no_proxy( self , request , monkeypatch )",2, 103, 8, 0
repos/python/requests/tests/test_utils.py,"test_bypass( self , url )",2, 61, 8, 0
repos/python/requests/tests/test_utils.py,"test_not_bypass( self , url )",2, 61, 8, 0
repos/python/requests/tests/test_utils.py,"test_bypass_no_proxy_keyword( self , url )",3, 65, 8, 0
repos/python/requests/tests/test_utils.py,"test_not_bypass_no_proxy_keyword( self , url , monkeypatch )",6, 65, 8, 0
repos/python/requests/tests/test_utils.py,"test_valid( self )",2, 42, 8, 0
repos/python/requests/tests/test_utils.py,"test_invalid( self , value )",2, 42, 8, 0
repos/python/requests/tests/test_utils.py,"test_valid( self )",2, 47, 8, 0
repos/python/requests/tests/test_utils.py,"test_invalid( self , value )",2, 40, 8, 0
repos/python/requests/tests/test_utils.py,"test_valid( self )",2, 67, 8, 0
repos/python/requests/tests/test_utils.py,"test_invalid( self )",2, 70, 8, 0
repos/python/requests/tests/test_utils.py,"test_guess_filename_invalid( self , value )",2, 45, 4, 0
repos/python/requests/tests/test_utils.py,"test_guess_filename_valid( self , value , expected_type )",5, 49, 8, 0
repos/python/requests/tests/test_utils.py,"test_unzipped_paths_unchanged( self , path )",2, 50, 4, 0
repos/python/requests/tests/test_utils.py,"test_zipped_paths_extracted( self , tmpdir )",12, 53, 8, 0
repos/python/requests/tests/test_utils.py,"test_none( self )",3, 34, 8, 0
