File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"__init__( self , employee_id , name , rank , call_center )", 6, 62, 4, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"take_call( self , call )", 5, 74, 8, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"complete_call( self )", 3, 58, 8, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"escalate_call( self )", 2, 29, 4, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"_escalate_call( self )", 5, 53, 8, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"__init__( self , employee_id , name )", 2, 73, 8, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"escalate_call( self )", 3, 42, 8, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"__init__( self , employee_id , name )", 2, 75, 8, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"escalate_call( self )", 3, 40, 8, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"__init__( self , employee_id , name )", 2, 73, 8, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"escalate_call( self )", 2, 74, 8, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"__init__( self , rank )", 4, 37, 8, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"__init__( self , operators , supervisors , directors )", 5, 59, 4, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"dispatch_call( self , call )", 12, 77, 8, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"_dispatch_call( self , call , employees )", 6, 47, 4, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"notify_call_escalated( self , call )", 2, 43, 4, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"notify_call_completed( self , call )", 2, 43, 4, 0
github/python/system-design-primer/solutions/object_oriented_design/call_center/call_center.py,"dispatch_queued_call_to_newly_freed_employee( self , call , employee )", 2, 76, 4, 0
github/python/system-design-primer/solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,"__init__( self , value , suit )", 4, 37, 4, 0
github/python/system-design-primer/solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,"value( self )", 2, 21, 4, 0
github/python/system-design-primer/solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,"value( self , other )", 2, 28, 4, 0
github/python/system-design-primer/solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,"__init__( self , value , suit )", 2, 57, 8, 0
