File, Function, Total Width, Leading Space(s), Leading Tab(s)
repos/python/system-design-primer/solutions/system_design/pastebin/pastebin.py,"extract_url( self , line )",59, 8, 0
repos/python/system-design-primer/solutions/system_design/pastebin/pastebin.py,"extract_year_month( self , line )",67, 8, 0
repos/python/system-design-primer/solutions/system_design/pastebin/pastebin.py,"mapper( self , _ , line )",70, 8, 0
repos/python/system-design-primer/solutions/system_design/pastebin/pastebin.py,"reducer( self , key , values )",36, 4, 0
repos/python/system-design-primer/solutions/system_design/pastebin/pastebin.py,"steps( self )",44, 8, 0
repos/python/system-design-primer/solutions/system_design/social_graph/social_graph_snippets.py,"bfs( self , source , dest )",65, 16, 0
repos/python/system-design-primer/solutions/system_design/social_graph/social_graph_snippets.py,"__init__( self , id , name )",34, 4, 0
repos/python/system-design-primer/solutions/system_design/social_graph/social_graph_snippets.py,"__init__( self )",65, 8, 0
repos/python/system-design-primer/solutions/system_design/social_graph/social_graph_snippets.py,"get_person( self , person_id )",47, 8, 0
repos/python/system-design-primer/solutions/system_design/social_graph/social_graph_snippets.py,"__init__( self )",58, 8, 0
repos/python/system-design-primer/solutions/system_design/social_graph/social_graph_snippets.py,"get_people( self , ids )",48, 16, 0
repos/python/system-design-primer/solutions/system_design/social_graph/social_graph_snippets.py,"__init__( self , person_ids , lookup )",44, 4, 0
repos/python/system-design-primer/solutions/system_design/social_graph/social_graph_snippets.py,"bfs( self , source , dest )",63, 8, 0
repos/python/system-design-primer/solutions/system_design/sales_rank/sales_rank_mapreduce.py,"within_past_week( self , timestamp )",77, 8, 0
repos/python/system-design-primer/solutions/system_design/sales_rank/sales_rank_mapreduce.py,"mapper( self , _ , line )",70, 8, 0
repos/python/system-design-primer/solutions/system_design/sales_rank/sales_rank_mapreduce.py,"reducer( self , key , values )",36, 4, 0
repos/python/system-design-primer/solutions/system_design/sales_rank/sales_rank_mapreduce.py,"mapper_sort( self , key , value )",58, 8, 0
repos/python/system-design-primer/solutions/system_design/sales_rank/sales_rank_mapreduce.py,"reducer_identity( self , key , value )",44, 4, 0
repos/python/system-design-primer/solutions/system_design/sales_rank/sales_rank_mapreduce.py,"steps( self )",52, 20, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_snippets.py,"__init__( self , db )",28, 4, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_snippets.py,"add_link_to_crawl( self , url )",54, 8, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_snippets.py,"remove_link_to_crawl( self , url )",59, 8, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_snippets.py,"reduce_priority_link_to_crawl( self , url )",81, 8, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_snippets.py,"extract_max_priority_page( self )",68, 8, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_snippets.py,"insert_crawled_link( self , url , signature )",53, 8, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_snippets.py,"crawled_similar( self , signature )",85, 8, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_snippets.py,"__init__( self , url , contents , child_urls )",51, 4, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_snippets.py,"create_signature( self )",53, 8, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_snippets.py,"__init__( self , pages , data_store , reverse_index_queue , doc_index_queue )",81, 4, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_snippets.py,"crawl_page( self , page )",70, 8, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_snippets.py,"crawl( self )",72, 16, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_mapreduce.py,"mapper( self , _ , line )",31, 4, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_mapreduce.py,"reducer( self , key , values )",36, 4, 0
repos/python/system-design-primer/solutions/system_design/web_crawler/web_crawler_mapreduce.py,"steps( self )",44, 8, 0
repos/python/system-design-primer/solutions/system_design/query_cache/query_cache_snippets.py,"__init__( self , memory_cache , reverse_index_cluster )",61, 4, 0
repos/python/system-design-primer/solutions/system_design/query_cache/query_cache_snippets.py,"parse_query( self , query )",69, 8, 0
repos/python/system-design-primer/solutions/system_design/query_cache/query_cache_snippets.py,"process_query( self , query )",71, 12, 0
repos/python/system-design-primer/solutions/system_design/query_cache/query_cache_snippets.py,"__init__( self , query , results )",40, 4, 0
repos/python/system-design-primer/solutions/system_design/query_cache/query_cache_snippets.py,"__init__( self )",25, 8, 0
repos/python/system-design-primer/solutions/system_design/query_cache/query_cache_snippets.py,"move_to_front( self , node )",35, 4, 0
repos/python/system-design-primer/solutions/system_design/query_cache/query_cache_snippets.py,"append_to_front( self , node )",37, 4, 0
repos/python/system-design-primer/solutions/system_design/query_cache/query_cache_snippets.py,"remove_from_tail( self )",32, 4, 0
repos/python/system-design-primer/solutions/system_design/query_cache/query_cache_snippets.py,"__init__( self , MAX_SIZE )",40, 8, 0
repos/python/system-design-primer/solutions/system_design/query_cache/query_cache_snippets.py,"get( self , query )",76, 8, 0
repos/python/system-design-primer/solutions/system_design/query_cache/query_cache_snippets.py,"set( self , results , query )",83, 8, 0
repos/python/system-design-primer/solutions/system_design/mint/mint_snippets.py,"__init__( self , seller_category_map , seller_category_overrides_map )",76, 4, 0
repos/python/system-design-primer/solutions/system_design/mint/mint_snippets.py,"categorize( self , transaction )",69, 8, 0
repos/python/system-design-primer/solutions/system_design/mint/mint_snippets.py,"__init__( self , timestamp , seller , amount )",51, 4, 0
repos/python/system-design-primer/solutions/system_design/mint/mint_snippets.py,"__init__( self , template_categories_to_budget_map )",74, 8, 0
repos/python/system-design-primer/solutions/system_design/mint/mint_snippets.py,"override_category_budget( self , category , amount )",58, 4, 0
repos/python/system-design-primer/solutions/system_design/mint/mint_mapreduce.py,"__init__( self , categorizer )",39, 8, 0
repos/python/system-design-primer/solutions/system_design/mint/mint_mapreduce.py,"current_year_month( self )",49, 8, 0
repos/python/system-design-primer/solutions/system_design/mint/mint_mapreduce.py,"extract_year_month( self , timestamp )",67, 8, 0
repos/python/system-design-primer/solutions/system_design/mint/mint_mapreduce.py,"handle_budget_notifications( self , key , total )",67, 8, 0
repos/python/system-design-primer/solutions/system_design/mint/mint_mapreduce.py,"mapper( self , _ , line )",70, 8, 0
repos/python/system-design-primer/solutions/system_design/mint/mint_mapreduce.py,"reducer( self , key , values )",53, 8, 0
repos/python/system-design-primer/solutions/system_design/mint/mint_mapreduce.py,"steps( self )",44, 8, 0
repos/python/system-design-primer/solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,"__init__( self , value , suit )",37, 4, 0
repos/python/system-design-primer/solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,"value( self )",21, 4, 0
repos/python/system-design-primer/solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,"value( self , other )",28, 4, 0
repos/python/system-design-primer/solutions/object_oriented_design/deck_of_cards/deck_of_cards.py,"__init__( self , value , suit )",57, 8, 0
