File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/python/thefuck/release.py,"get_new_setup_py_lines( )",11, 23, 12, 0
repos/python/thefuck/fastentrypoints.py,"get_args( cls , dist , header = None )",20, 26, 12, 0
repos/python/thefuck/fastentrypoints.py,"main( )",29, 72, 16, 0
repos/python/thefuck/tests/test_conf.py,"load_source( mocker )",2, 52, 4, 0
repos/python/thefuck/tests/test_conf.py,"test_settings_defaults( load_source , settings )",5, 45, 4, 0
repos/python/thefuck/tests/test_conf.py,"test_from_file( self , load_source , settings )",14, 49, 8, 0
repos/python/thefuck/tests/test_conf.py,"test_from_file_with_DEFAULT( self , load_source , settings )",8, 64, 8, 0
repos/python/thefuck/tests/test_conf.py,"test_from_env( self , os_environ , settings )",20, 49, 8, 0
repos/python/thefuck/tests/test_conf.py,"test_from_env_with_DEFAULT( self , os_environ , settings )",4, 72, 8, 0
repos/python/thefuck/tests/test_conf.py,"test_settings_from_args( settings )",5, 27, 4, 0
repos/python/thefuck/tests/test_conf.py,"test_ignore_if_exists( self , settings )",6, 50, 8, 0
repos/python/thefuck/tests/test_conf.py,"test_create_if_doesnt_exists( self , settings )",15, 30, 8, 0
repos/python/thefuck/tests/test_conf.py,"test_get_user_dir_path( mocker , os_environ , settings , legacy_dir_exists , xdg_config_home , result )",2, 53, 0, 0
repos/python/thefuck/tests/test_utils.py,"test_default_settings( settings , override , old , new )",5, 27, 4, 0
repos/python/thefuck/tests/test_utils.py,"test_memoize( )",6, 33, 4, 0
repos/python/thefuck/tests/test_utils.py,"test_no_memoize( )",6, 30, 4, 0
repos/python/thefuck/tests/test_utils.py,"test_when_can_match( self )",2, 70, 8, 0
repos/python/thefuck/tests/test_utils.py,"test_when_cant_match( self )",2, 66, 8, 0
repos/python/thefuck/tests/test_utils.py,"test_without_fallback( self )",3, 60, 27, 0
repos/python/thefuck/tests/test_utils.py,"test_call_with_n( self , difflib_mock )",3, 49, 8, 0
repos/python/thefuck/tests/test_utils.py,"test_call_without_n( self , difflib_mock , settings )",3, 81, 8, 0
repos/python/thefuck/tests/test_utils.py,"get_aliases( mocker )",3, 66, 17, 0
repos/python/thefuck/tests/test_utils.py,"test_get_all_executables( )",5, 39, 4, 0
repos/python/thefuck/tests/test_utils.py,"test_replace_argument( args , result )",2, 45, 4, 0
repos/python/thefuck/tests/test_utils.py,"test_get_all_matched_commands( stderr , result )",2, 60, 4, 0
repos/python/thefuck/tests/test_utils.py,"test_is_app( script , names , result )",2, 57, 4, 0
repos/python/thefuck/tests/test_utils.py,"test_for_app.match( command )",2, 20, 4, 0
repos/python/thefuck/tests/test_utils.py,"test_for_app( script , names , result )",6, 48, 4, 0
repos/python/thefuck/tests/test_utils.py,"shelve.__init__( self , path )",2, 21, 12, 0
repos/python/thefuck/tests/test_utils.py,"shelve.__setitem__( self , k , v )",2, 29, 12, 0
repos/python/thefuck/tests/test_utils.py,"shelve.__getitem__( self , k )",2, 32, 12, 0
repos/python/thefuck/tests/test_utils.py,"shelve.get( self , k , v = None )",2, 39, 16, 0
repos/python/thefuck/tests/test_utils.py,"shelve.close( self )",2, 23, 12, 0
repos/python/thefuck/tests/test_utils.py,"shelve( self , mocker )",21, 21, 8, 0
repos/python/thefuck/tests/test_utils.py,"enable_cache( self , monkeypatch , shelve )",3, 26, 8, 0
repos/python/thefuck/tests/test_utils.py,"mtime( self , mocker )",2, 71, 8, 0
repos/python/thefuck/tests/test_utils.py,"fn.fn( )",2, 26, 12, 0
repos/python/thefuck/tests/test_utils.py,"fn( self )",6, 18, 8, 0
repos/python/thefuck/tests/test_utils.py,"key( self , monkeypatch )",4, 21, 8, 0
repos/python/thefuck/tests/test_utils.py,"test_with_blank_cache( self , shelve , fn , key )",4, 63, 8, 0
repos/python/thefuck/tests/test_utils.py,"test_with_filled_cache( self , shelve , fn , key )",5, 37, 8, 0
repos/python/thefuck/tests/test_utils.py,"test_when_etag_changed( self , shelve , fn , key )",4, 63, 8, 0
repos/python/thefuck/tests/test_utils.py,"fail_on_warning( self )",4, 33, 8, 0
repos/python/thefuck/tests/test_utils.py,"history( self , mocker )",4, 79, 42, 0
repos/python/thefuck/tests/test_utils.py,"alias( self , mocker )",3, 49, 8, 0
repos/python/thefuck/tests/test_utils.py,"bins( self , mocker )",8, 74, 8, 0
repos/python/thefuck/tests/test_utils.py,"test_get_valid_history_without_current( self , script , result )",3, 68, 8, 0
repos/python/thefuck/tests/test_types.py,"test_equality( self )",5, 59, 16, 0
repos/python/thefuck/tests/test_types.py,"test_hashable( self )",3, 79, 16, 0
repos/python/thefuck/tests/test_types.py,"test_representable( self )",5, 85, 15, 0
