File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
github/python/walle-web/migrations/env.py,"run_migrations_offline( )", 17, 65, 4, 0
github/python/walle-web/migrations/env.py,"run_migrations_online.process_revision_directives( context , revision , directives )", 6, 68, 4, 0
github/python/walle-web/migrations/env.py,"run_migrations_online( )", 36, 79, 4, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"upgrade( )", 16, 67, 4, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"create_environments( )", 11, 102, 14, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"create_menus( )", 18, 102, 14, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"init_menus( )", 11, 140, 12, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"create_projects( )", 35, 102, 14, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"create_records( )", 18, 102, 14, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"create_servers( )", 12, 102, 14, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"create_spaces( )", 11, 102, 14, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"init_spaces( )", 4, 77, 12, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"create_tasks( )", 22, 102, 14, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"create_users( )", 17, 102, 14, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"init_users( )", 8, 209, 12, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"create_members( )", 13, 102, 14, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"init_members( )", 7, 90, 12, 0
github/python/walle-web/migrations/versions/2bca06a823a0_init_walle_database.py,"downgrade( )", 10, 34, 4, 0
github/python/walle-web/tests/conftest.py,"app( )", 11, 43, 4, 0
github/python/walle-web/tests/conftest.py,"client( app )", 6, 77, 4, 0
github/python/walle-web/tests/conftest.py,"testapp( app )", 4, 25, 4, 0
github/python/walle-web/tests/conftest.py,"db( app )", 11, 37, 4, 0
github/python/walle-web/tests/conftest.py,"user( db )", 5, 32, 4, 0
github/python/walle-web/tests/factories.py,"init_vars( self , data )", 6, 55, 12, 0
github/python/walle-web/tests/test_00_base.py,"test_get_by_id( self )", 3, 30, 4, 0
github/python/walle-web/tests/test_00_base.py,"from_data( self )", 2, 25, 4, 0
github/python/walle-web/tests/test_00_base.py,"test_add( self )", 479, 55, 20, 0
github/python/walle-web/tests/test_00_base.py,"test_add_super( self )", 5, 102, 8, 0
github/python/walle-web/tests/test_00_base.py,"test_add_owner( self )", 5, 102, 8, 0
github/python/walle-web/tests/test_00_base.py,"test_base_fetch( self )", 2, 35, 8, 0
github/python/walle-web/tests/test_00_base.py,"test_login_super( self , user , testapp , client , db )", 9, 80, 8, 0
github/python/walle-web/tests/test_00_base.py,"test_base_create_space( self , user , testapp , client , db )", 9, 76, 8, 0
github/python/walle-web/tests/test_00_login.py,"test_fetch( self )", 2, 35, 8, 0
github/python/walle-web/tests/test_00_login.py,"test_login( self , user , testapp , client , db )", 9, 80, 8, 0
github/python/walle-web/tests/test_01_api_environment.py,"test_init( self , user , testapp , client , db )", 4, 52, 4, 0
github/python/walle-web/tests/test_01_api_environment.py,"test_create( self , user , testapp , client , db )", 21, 76, 8, 0
github/python/walle-web/tests/test_01_api_environment.py,"test_one( self , user , testapp , client , db )", 8, 76, 8, 0
github/python/walle-web/tests/test_01_api_environment.py,"test_get_list_page_size( self , user , testapp , client )", 16, 91, 8, 0
github/python/walle-web/tests/test_01_api_environment.py,"test_get_list_query( self , user , testapp , client )", 16, 91, 8, 0
github/python/walle-web/tests/test_01_api_environment.py,"test_get_update( self , user , testapp , client )", 14, 95, 8, 0
github/python/walle-web/tests/test_01_api_environment.py,"test_get_remove( self , user , testapp , client )", 14, 81, 8, 0
github/python/walle-web/tests/test_02_api_role.py,"test_get_list_page_size( self , user , testapp , client )", 14, 91, 8, 0
github/python/walle-web/tests/test_03_api_user.py,"test_create( self , user , testapp , client , db )", 32, 81, 8, 0
github/python/walle-web/tests/test_03_api_user.py,"test_one( self , user , testapp , client , db )", 8, 77, 8, 0
github/python/walle-web/tests/test_03_api_user.py,"test_get_list_page_size( self , user , testapp , client )", 16, 91, 8, 0
github/python/walle-web/tests/test_03_api_user.py,"test_get_list_query( self , user , testapp , client )", 16, 91, 8, 0
github/python/walle-web/tests/test_03_api_user.py,"test_get_update( self , user , testapp , client )", 16, 97, 8, 0
github/python/walle-web/tests/test_03_api_user.py,"test_get_remove( self , user , testapp , client )", 14, 82, 8, 0
github/python/walle-web/tests/test_04_api_passport.py,"test_login( self , user , testapp , client , db )", 21, 86, 8, 0
github/python/walle-web/tests/test_05_api_space.py,"test_get_update_default_space( self , user , testapp , client )", 9, 89, 16, 0
github/python/walle-web/tests/test_05_api_space.py,"test_create( self , user , testapp , client , db )", 19, 78, 8, 0
github/python/walle-web/tests/test_05_api_space.py,"test_one( self , user , testapp , client , db )", 6, 84, 8, 0
github/python/walle-web/tests/test_05_api_space.py,"test_get_update( self , user , testapp , client )", 24, 105, 8, 0
github/python/walle-web/tests/test_05_api_space.py,"compare_member_req_resp( self , request , response )", 5, 73, 20, 0
github/python/walle-web/tests/test_06_api_server.py,"test_create( self , user , testapp , client , db )", 21, 79, 8, 0
github/python/walle-web/tests/test_06_api_server.py,"test_one( self , user , testapp , client , db )", 8, 79, 8, 0
github/python/walle-web/tests/test_06_api_server.py,"test_get_list_page_size( self , user , testapp , client )", 16, 91, 8, 0
github/python/walle-web/tests/test_06_api_server.py,"test_get_list_query( self , user , testapp , client )", 16, 91, 8, 0
github/python/walle-web/tests/test_06_api_server.py,"test_get_update( self , user , testapp , client )", 14, 101, 8, 0
github/python/walle-web/tests/test_06_api_server.py,"test_get_remove( self , user , testapp , client )", 14, 84, 8, 0
github/python/walle-web/tests/test_07_api_project.py,"test_init( self , user , testapp , client , db )", 5, 52, 4, 0
github/python/walle-web/tests/test_07_api_project.py,"test_create( self , user , testapp , client , db )", 16, 107, 8, 0
github/python/walle-web/tests/test_07_api_project.py,"test_one( self , user , testapp , client , db )", 8, 80, 8, 0
github/python/walle-web/tests/test_07_api_project.py,"test_get_list_page_size( self , user , testapp , client )", 16, 91, 8, 0
github/python/walle-web/tests/test_07_api_project.py,"test_get_list_query( self , user , testapp , client )", 16, 91, 8, 0
github/python/walle-web/tests/test_07_api_project.py,"test_get_update( self , user , testapp , client )", 12, 115, 8, 0
github/python/walle-web/tests/test_07_api_project.py,"test_get_update_members( self , user , testapp , client )", 28, 93, 26, 0
github/python/walle-web/tests/test_07_api_project.py,"test_get_remove( self , user , testapp , client )", 14, 85, 8, 0
github/python/walle-web/tests/test_07_api_project.py,"get_list_ids( self , projectOrigin )", 4, 80, 8, 0
github/python/walle-web/tests/test_07_api_project.py,"project_compare_req_resp( self , req_obj , resp )", 14, 55, 4, 0
github/python/walle-web/tests/test_07_api_project.py,"project_compare_in( self , req_obj , resp_obj )", 4, 103, 12, 0
github/python/walle-web/tests/test_07_api_project.py,"compare_member_req_resp( self , request , response )", 5, 73, 20, 0
github/python/walle-web/tests/test_07_api_project.py,"compare_member_req_resp_without_key( self , request , response )", 5, 73, 20, 0
github/python/walle-web/tests/test_08_api_task.py,"test_create( self , user , testapp , client , db )", 17, 77, 8, 0
github/python/walle-web/tests/test_08_api_task.py,"test_one( self , user , testapp , client , db )", 8, 77, 8, 0
github/python/walle-web/tests/test_08_api_task.py,"test_get_list_page_size( self , user , testapp , client )", 16, 91, 8, 0
github/python/walle-web/tests/test_08_api_task.py,"test_get_list_query( self , user , testapp , client )", 16, 91, 8, 0
github/python/walle-web/tests/test_08_api_task.py,"test_get_update( self , user , testapp , client )", 12, 109, 8, 0
github/python/walle-web/tests/test_08_api_task.py,"test_get_update_audit( self , user , testapp , client )", 7, 85, 8, 0
github/python/walle-web/tests/test_08_api_task.py,"test_get_update_reject( self , user , testapp , client )", 7, 86, 8, 0
github/python/walle-web/tests/test_08_api_task.py,"test_get_remove( self , user , testapp , client )", 14, 82, 8, 0
github/python/walle-web/tests/test_config.py,"test_test_config( )", 5, 41, 4, 0
github/python/walle-web/tests/test_forms.py,"test_validate_success( self , user )", 8, 82, 8, 0
github/python/walle-web/tests/test_functional.py,"test_can_log_in_returns_200( self , user , testapp , client )", 11, 66, 4, 0
github/python/walle-web/tests/test_models.py,"test_get_by_id( self )", 3, 30, 4, 0
github/python/walle-web/tests/test_models.py,"test_add( self )", 3, 59, 8, 0
github/python/walle-web/tests/utils.py,"response_success( response )", 4, 113, 4, 0
github/python/walle-web/tests/utils.py,"response_error( response , code = None )", 4, 113, 4, 0
github/python/walle-web/tests/utils.py,"compare_req_resp( req_obj , resp )", 4, 39, 4, 0
github/python/walle-web/tests/utils.py,"compare_in( req_obj , resp_obj )", 4, 99, 8, 0
github/python/walle-web/tests/utils.py,"resp_json( resp )", 2, 51, 4, 0
github/python/walle-web/walle/app.py,"create_app.before_request( )", 3, 26, 4, 0
github/python/walle-web/walle/app.py,"create_app.shutdown_session( exception = None )", 4, 44, 8, 0
github/python/walle-web/walle/app.py,"create_app.index( )", 2, 48, 8, 0
github/python/walle-web/walle/app.py,"create_app( config_object = ProdConfig )", 40, 102, 4, 0
github/python/walle-web/walle/app.py,"register_extensions.load_user( user_id )", 4, 44, 8, 0
github/python/walle-web/walle/app.py,"register_extensions.unauthorized( )", 3, 59, 8, 0
github/python/walle-web/walle/app.py,"register_extensions( app )", 25, 59, 8, 0
github/python/walle-web/walle/app.py,"register_blueprints( app )", 19, 168, 4, 0
github/python/walle-web/walle/app.py,"register_errorhandlers.render_error( error )", 4, 76, 8, 0
github/python/walle-web/walle/app.py,"register_errorhandlers.render_errors( )", 5, 72, 8, 0
github/python/walle-web/walle/app.py,"register_errorhandlers( app )", 10, 76, 8, 0
github/python/walle-web/walle/app.py,"register_shellcontext.shell_context( )", 6, 37, 8, 0
github/python/walle-web/walle/app.py,"register_shellcontext( app )", 11, 47, 4, 0
github/python/walle-web/walle/app.py,"register_commands( app )", 6, 40, 4, 0
github/python/walle-web/walle/app.py,"register_logging( app )", 26, 101, 12, 0
github/python/walle-web/walle/app.py,"register_socketio( app )", 7, 80, 4, 0
github/python/walle-web/walle/app.py,"filter( self , record )", 12, 59, 8, 0
github/python/walle-web/walle/commands.py,"test( )", 5, 47, 4, 0
github/python/walle-web/walle/commands.py,"lint.execute_tool( description , * args )", 7, 73, 8, 0
github/python/walle-web/walle/commands.py,"lint( fix_imports )", 20, 76, 8, 0
github/python/walle-web/walle/commands.py,"clean( )", 11, 79, 4, 0
github/python/walle-web/walle/commands.py,"urls( url , order )", 57, 72, 8, 0
github/python/walle-web/walle/api/access.py,"get( self , access_id = None )", 8, 66, 8, 0
github/python/walle-web/walle/api/access.py,"list( self )", 11, 50, 8, 0
github/python/walle-web/walle/api/access.py,"item( self , access_id )", 11, 50, 8, 0
github/python/walle-web/walle/api/access.py,"post( self )", 17, 90, 8, 0
github/python/walle-web/walle/api/access.py,"put( self , access_id )", 19, 85, 12, 0
github/python/walle-web/walle/api/access.py,"delete( self , access_id )", 13, 47, 8, 0
github/python/walle-web/walle/api/api.py,"__init__( self )", 2, 24, 4, 0
github/python/walle-web/walle/api/api.py,"render_json( code = 0 , message = '' , data = [ ] )", 2, 71, 8, 0
github/python/walle-web/walle/api/api.py,"json( code = 0 , message = None , data = [ ] )", 12, 65, 12, 0
github/python/walle-web/walle/api/api.py,"list_json( list , count , table = { } , code = 0 , message = '' , enable_create = False )", 4, 124, 8, 0
github/python/walle-web/walle/api/api.py,"__init__( self )", 3, 88, 12, 0
github/python/walle-web/walle/api/api.py,"get( self , * args , ** kwargs )", 4, 36, 4, 0
github/python/walle-web/walle/api/api.py,"delete( self , * args , ** kwargs )", 8, 87, 8, 0
github/python/walle-web/walle/api/api.py,"put( self , * args , ** kwargs )", 8, 87, 8, 0
github/python/walle-web/walle/api/api.py,"post( self , * args , ** kwargs )", 9, 37, 4, 0
github/python/walle-web/walle/api/api.py,"validator( self )", 6, 84, 8, 0
github/python/walle-web/walle/api/api.py,"is_super.is_enable( * args , ** kwargs )", 6, 91, 12, 0
github/python/walle-web/walle/api/api.py,"is_super( func )", 10, 91, 12, 0
github/python/walle-web/walle/api/api.py,"is_master.is_enable( * args , ** kwargs )", 6, 91, 12, 0
github/python/walle-web/walle/api/api.py,"is_master( func )", 10, 91, 12, 0
github/python/walle-web/walle/api/api.py,"get( self )", 7, 36, 8, 0
github/python/walle-web/walle/api/deploy.py,"get( self , task_id = None )", 8, 43, 8, 0
github/python/walle-web/walle/api/deploy.py,"post( self )", 18, 49, 8, 0
github/python/walle-web/walle/api/environment.py,"get( self , env_id = None )", 10, 60, 8, 0
github/python/walle-web/walle/api/environment.py,"list( self )", 24, 148, 8, 0
github/python/walle-web/walle/api/environment.py,"item( self , env_id )", 13, 48, 8, 0
github/python/walle-web/walle/api/environment.py,"post( self )", 19, 86, 12, 0
github/python/walle-web/walle/api/environment.py,"put( self , env_id )", 17, 83, 12, 0
github/python/walle-web/walle/api/environment.py,"delete( self , env_id )", 13, 48, 8, 0
github/python/walle-web/walle/api/general.py,"get( self , action )", 12, 62, 12, 0
github/python/walle-web/walle/api/general.py,"post( self , action )", 8, 36, 8, 0
github/python/walle-web/walle/api/general.py,"menu( self )", 21, 99, 8, 0
github/python/walle-web/walle/api/general.py,"mail( self )", 6, 117, 8, 0
github/python/walle-web/walle/api/general.py,"websocket( self , task_id = None )", 9, 46, 8, 0
github/python/walle-web/walle/api/group.py,"get( self , group_id = None )", 10, 64, 8, 0
github/python/walle-web/walle/api/group.py,"list( self )", 28, 105, 8, 0
github/python/walle-web/walle/api/group.py,"item( self , group_id )", 14, 55, 8, 0
github/python/walle-web/walle/api/group.py,"put( self , group_id )", 27, 77, 12, 0
github/python/walle-web/walle/api/group.py,"delete( self , group_id )", 14, 44, 8, 0
github/python/walle-web/walle/api/passport.py,"post( self , action )", 13, 62, 12, 0
github/python/walle-web/walle/api/passport.py,"login( self )", 17, 78, 12, 0
github/python/walle-web/walle/api/passport.py,"logout( self )", 3, 34, 8, 0
github/python/walle-web/walle/api/project.py,"get( self , action = None , project_id = None )", 10, 68, 8, 0
github/python/walle-web/walle/api/project.py,"list( self )", 17, 109, 8, 0
github/python/walle-web/walle/api/project.py,"item( self , project_id )", 16, 113, 8, 0
github/python/walle-web/walle/api/project.py,"post( self )", 20, 66, 12, 0
github/python/walle-web/walle/api/project.py,"put( self , project_id , action = None )", 22, 78, 12, 0
github/python/walle-web/walle/api/project.py,"delete( self , project_id )", 13, 52, 8, 0
github/python/walle-web/walle/api/project.py,"members( self , project_id , members )", 15, 81, 8, 0
github/python/walle-web/walle/api/repo.py,"get( self , action , commit = None )", 15, 62, 12, 0
github/python/walle-web/walle/api/repo.py,"tags( self , project_id = None )", 13, 51, 8, 0
