File, Function, Length, Total Width, Leading Space(s), Leading Tab(s)
repos/python/youtube-dl/setup.py,"initialize_options( self )",2, 13, 4, 0
repos/python/youtube-dl/setup.py,"finalize_options( self )",2, 13, 4, 0
repos/python/youtube-dl/setup.py,"run( self )",5, 10, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"_ctypes_array( c_type , py_array )",4, 14, 0, 0
repos/python/youtube-dl/devscripts/buildserver.py,"win_OpenSCManager( )",6, 15, 5, 0
repos/python/youtube-dl/devscripts/buildserver.py,"win_install_service( service_name , cmdline )",14, 45, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"win_uninstall_service( service_name )",15, 45, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"win_service_report_event( service_name , msg , is_error = True )",19, 50, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"win_service_handler( stop_event , * args )",9, 14, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"win_service_set_status( handle , status_code )",10, 76, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"win_service_main( service_name , real_main , argc , argv_raw )",16, 14, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"win_service_start( service_name , real_main )",19, 14, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"main( args = None )",40, 15, 4, 0
repos/python/youtube-dl/devscripts/buildserver.py,"rmtree( path )",9, 19, 4, 0
repos/python/youtube-dl/devscripts/buildserver.py,"__init__( self , output , code = 500 )",3, 25, 4, 0
repos/python/youtube-dl/devscripts/buildserver.py,"__str__( self )",2, 27, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"__init__( self , ** kwargs )",22, 54, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"__init__( self , ** kwargs )",16, 55, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"build( self )",8, 40, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"__init__( self , ** kwargs )",7, 57, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"build( self )",10, 46, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"__init__( self , ** kwargs )",8, 56, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"build( self )",16, 45, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"build( self )",7, 44, 8, 0
repos/python/youtube-dl/devscripts/buildserver.py,"__init__( self , ** kwargs )",2, 13, 4, 0
repos/python/youtube-dl/devscripts/buildserver.py,"start( self )",2, 13, 4, 0
repos/python/youtube-dl/devscripts/buildserver.py,"close( self )",2, 13, 4, 0
repos/python/youtube-dl/devscripts/buildserver.py,"build( self )",2, 13, 4, 0
repos/python/youtube-dl/devscripts/buildserver.py,"do_GET( self )",25, 53, 12, 0
repos/python/youtube-dl/devscripts/prepare_manpage.py,"main( )",19, 27, 4, 0
repos/python/youtube-dl/devscripts/prepare_manpage.py,"filter_options( readme )",31, 15, 4, 0
repos/python/youtube-dl/devscripts/make_issue_template.py,"main( )",19, 24, 4, 0
repos/python/youtube-dl/devscripts/fish-completion.py,"build_completion( opt_parser )",19, 33, 4, 0
repos/python/youtube-dl/devscripts/zsh-completion.py,"build_completion( opt_parser )",31, 26, 4, 0
repos/python/youtube-dl/devscripts/make_lazy_extractors.py,"get_base_name( base )",7, 29, 8, 0
repos/python/youtube-dl/devscripts/make_lazy_extractors.py,"build_lazy_ie( ie , name )",13, 13, 4, 0
repos/python/youtube-dl/devscripts/create-github-release.py,"__init__( self , debuglevel = 0 )",4, 73, 8, 0
repos/python/youtube-dl/devscripts/create-github-release.py,"_init_github_account( self )",16, 62, 12, 0
repos/python/youtube-dl/devscripts/create-github-release.py,"_call( self , req )",11, 36, 8, 0
repos/python/youtube-dl/devscripts/create-github-release.py,"list_releases( self )",2, 41, 8, 0
